Time,Result,PA,PASS,PBLK,RECV,RUN,RBLK,RDEF,TACK,PRSH,COV,SPEC
3,O,20,67.7,70.9,77.4,71.5,64.2,31.8,29.8,59.7,49.4,67.7
2,U,20,78.8,62.7,66.4,73.5,65.1,59.3,39.3,68.6,56.3,44.5
3,O,20,91.5,84.5,74.3,52.3,56.9,30.9,51,63.6,69.3,65.4
3,O,10,44.5,78,66.2,57.6,69.2,69.7,75.8,58.3,64.4,61.1
1,U,40,84.1,71.5,72.7,55.2,59.8,60,59.9,62.4,47.2,55
2.5,O,17,68.6,72.5,60.2,76,79.5,75.5,68.6,64.6,61.7,60.5
2,O,16,70.3,68.5,64.5,67.7,70.8,51.9,71.9,56.9,82.8,80.2
1,O,9,91.5,72.6,76.1,56.1,49.1,70,81.4,54.7,74.6,63.4
1,U,31,75,68.2,73.5,63.2,47.2,63.8,67.3,60.5,69,62.8
3,O,31,82.9,68.1,77.3,85.2,75.1,66.3,38.3,64,38.3,62.1
2,U,24,85.7,60.7,82,67.1,71.4,63.3,70.7,69.6,57,70.8
3,O,16,92.1,57,73.6,74,64.6,62,50.6,63.1,62.7,62.2
1,O,27,71.8,74.4,74.1,57.8,54.3,69.3,62.4,70.5,58.4,67.5
2,U,29,62.4,63.1,68,77.5,63.5,54.7,74.8,59.3,76.6,65.3
1,U,14,46.8,74.2,71.2,79.9,80.9,48.7,68.8,79.7,56.5,67
2,U,38,65.1,51.1,69.5,58.6,69.8,52.1,29.5,68,41.7,65.2
1,O,26,74.9,74,72.6,67.2,61.4,67.9,68.5,61.4,75.2,71.2
2,O,10,79.9,84.5,80.7,52,53.4,55.8,63.4,75.8,65.4,51.2
1,O,28,76.9,81.4,67.6,58.1,70,28.9,40.6,55.7,63.3,56.7
1,O,30,67.9,76.1,63.2,58.1,56.7,66.6,70.9,63.9,49.9,57.6
3,U,19,79.6,48.8,58.4,54.5,60.3,46,58,52,63.7,60
1,U,31,40.8,68,69.4,75.2,60.3,61.5,55.6,51.5,51,71.8
3,O,6,59.6,58.5,71.3,63,52.5,65.9,80.2,66.7,64.5,74.1
3,U,31,73.2,72,70.3,58.3,68.9,51.6,56.7,62.9,53.7,69.4
1,U,23,57.8,70.1,78.7,74.9,53.4,79.7,73.2,67.9,58.1,85
1,U,35,76.5,70.2,77.2,58.5,52.6,51.2,46.9,72,46.3,54.5
3,O,17,59.9,51.1,60.4,64.3,53,64.6,63.1,55,72.3,64.5
2,O,9,66.8,74.1,61.2,71.1,67.5,54.5,38.6,57.9,77.5,91.8
2,O,16,54.9,84,62.4,50.2,51,87.3,62.6,60.6,53.4,63.8
1,O,3,90,86.9,79.4,64.3,54.6,74.5,41.3,62.1,67.8,55.8
3,O,3,78.9,73.4,75.9,64.6,53.7,48.6,56.8,63.8,65.2,84.5
1,O,21,71.4,76.4,52.4,77.5,63.1,58.6,32.5,62.3,68.7,88.3
1.5,O,31,79.4,79.6,67.7,70.5,76.6,60.3,60.5,49.5,57.8,80.6
1.5,O,24,92.9,85.7,69.2,83.1,76.6,51.9,74.3,62.6,67.3,59.2
2.75,O,20,61.5,68.6,71.4,63.5,89.1,36.2,46.1,60.4,67.2,62.4